sim seed ne n mur mud1 mufv1 mud2 mufv2 ts1 int12 genomesize rrate GSS.He GSS.Dj GSS.WCst GSS.S GSS.thetaW GSS.D GSS.Da GSS.ZZ
29 814249517 286 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.10419223735 0.0273530617298 0.224292140434 111 16.9015893918 -0.933919920055 0.0263130042102 NA
30 730579422 6261 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.11484063639 7.69384999307e-05 0.00055024629687 1365 207.843869548 -0.757741807487 6.32079812982e-05 NA
31 538912927 5776 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.182078706012 -0.000448945412687 -0.0012829226428 1568 238.753983481 0.603887791095 -0.000233443525022 NA
32 338733307 6845 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.167697778711 -0.000158097676642 -0.000531335474662 1970 299.965145062 0.312793601433 -8.9080172435e-05 NA
33 443413251 8490 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163934741251 -0.000437302387136 -0.00149239734056 2092 318.541666736 0.236552644291 -0.000244473803049 NA
34 767012977 1916 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163813170386 0.0381217256869 0.169031479264 622 94.7098072227 0.232719500799 0.0302388348495 NA
35 458950439 5231 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.148108048754 0.000826412243602 0.00295526541102 1301 198.098808998 -0.0841794638185 0.000438344682676 NA
36 329466749 9897 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.151633873645 0.0198189806754 0.0888465536814 2464 375.184831184 -0.0128317185275 0.0140968038243 NA
37 763998315 6990 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.143166270377 0.0406432524808 0.190161468278 1755 267.227832276 -0.184405039458 0.03007731392 NA
38 517286435 502 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.154167005351 0.00252786680898 0.00968806523074 148 22.5354525224 0.0373241058798 0.00150083186201 NA
39 254921289 5942 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.117811560624 0.0310521207267 0.186077029839 1324 201.600940133 -0.697508792512 0.0241646320728 NA
40 377163757 277 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.0797894736842 0.000902417779749 0.0078061925581 75 11.4199928323 -1.37967313124 0.000625286432161 NA
41 780993286 4693 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.175868938219 -0.000243079460206 -0.000440399538431 1260 191.855879583 0.477711997446 -7.74355906522e-05 NA
42 374213500 3301 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.123616114988 -0.000170346003761 -0.000710020113367 917 139.628445696 -0.578991654041 -8.7738857867e-05 NA
43 152987729 2298 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.0976679959567 0.0275684793631 0.19740862048 543 82.680748106 -1.09909815877 0.0213861156612 NA
